"Live births by area, city/district councils (Maori and total population) (Annual-Dec)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Far North District,Whangarei District,Kaipara District,Rodney District (to 2010),North Shore City (to 2010),Waitakere City (to 2010),Auckland City (to 2010),Manukau City (to 2010),Papakura District (to 2010),Franklin District (to 2010),Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawke's Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Wanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Selwyn District,Ashburton District,Timaru District,Mackenzie District,Waimate District,Chatham Islands Territory,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Clutha District,Southland District,Gore District,Invercargill City,Auckland (from 2011),Not stated,Area outside Territorial Authority,Total New Zealand
 ,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
1991,993,1158,324,879,2154,2895,6057,5016,801,789,285,354,777,573,1758,612,156,603,189,570,468,1047,1317,696,213,216,894,243,1167,867,234,1095,177,543,405,771,306,441,1113,387,462,486,1128,582,1761,2415,408,114,171,525,609,486,54,192,225,147,144,396,4401,321,375,561,60,102,12,288,207,150,1659,264,501,237,930,..,3,0,59910
1992,978,1161,297,858,2169,2925,5772,5109,765,810,324,306,750,600,1671,603,183,588,195,540,480,1032,1203,669,198,204,966,210,1218,879,219,1074,177,570,399,768,297,429,1095,330,504,522,1092,612,1758,2430,396,108,150,492,567,531,42,183,255,120,150,444,4260,321,333,594,54,105,21,306,228,135,1632,258,480,216,834,..,6,0,59166
1993,996,1188,273,861,2229,2916,5877,5124,783,804,315,312,729,528,1704,624,174,579,183,555,471,1104,1266,606,231,201,981,213,1203,804,228,1053,156,534,405,753,282,450,1125,330,477,492,1053,588,1716,2304,354,90,168,501,534,525,45,180,207,138,150,435,4197,318,327,573,57,93,18,282,204,177,1533,297,483,231,882,..,3,0,58782
1994,921,1080,273,873,2196,2979,5685,4959,786,807,321,267,672,498,1743,597,174,537,180,528,441,1035,1245,624,165,204,951,201,1179,822,201,1008,156,513,378,714,288,441,1107,357,441,504,981,564,1629,2364,357,99,156,519,567,492,45,153,195,135,147,402,4245,333,333,537,48,90,12,264,198,195,1509,267,420,219,777,..,6,0,57321
1995,1008,1128,285,858,2313,2943,5727,5208,768,816,294,309,639,480,1821,591,189,525,195,531,465,1059,1233,633,180,180,906,192,1119,861,195,981,156,480,348,759,294,414,1098,315,468,486,993,552,1617,2307,360,87,141,489,519,543,51,147,192,135,129,474,4293,318,339,546,54,114,15,264,189,207,1461,267,426,219,774,..,3,0,57672
1996,885,1080,276,936,2367,3021,5991,5307,765,807,285,285,624,441,1722,564,147,522,171,498,507,1146,1236,585,171,168,873,201,1167,876,177,942,150,447,321,693,255,405,1146,288,471,477,906,534,1599,2361,363,87,123,453,552,468,45,144,219,126,144,474,4233,309,321,540,57,99,12,270,180,192,1446,252,417,192,768,..,3,0,57282
1997,870,1068,276,1011,2379,2994,5904,5397,732,846,294,252,702,483,1881,630,150,513,162,561,537,1248,1317,606,171,186,834,180,1110,828,195,912,147,447,330,663,264,405,1089,300,471,450,942,522,1593,2277,342,99,123,477,528,540,51,132,192,102,132,471,4359,306,336,498,57,96,12,249,177,198,1404,252,384,201,756,..,6,0,57603
1998,873,1038,267,981,2376,2832,5733,5247,753,741,258,222,657,441,1860,561,120,486,165,471,525,1257,1173,531,144,156,753,159,1047,735,177,951,144,447,285,624,243,339,1044,267,429,501,891,561,1617,2292,345,84,138,489,525,429,42,120,183,102,120,474,3996,309,288,510,48,81,12,216,174,213,1302,222,360,192,702,..,294,0,55350
1999,879,1029,249,1017,2358,3048,5895,5703,705,810,300,228,681,504,1935,609,147,474,156,495,522,1275,1203,594,135,174,771,171,1068,765,162,906,144,450,276,609,234,366,1050,255,426,483,1017,495,1608,2409,330,90,132,504,519,471,36,123,183,96,129,504,4233,351,312,513,45,60,18,219,147,198,1335,267,405,171,678,..,210,6,57054
2000,885,966,273,1011,2493,3057,6024,5736,789,786,303,225,639,435,1806,573,135,381,153,459,519,1326,1116,507,123,153,774,144,1116,735,180,888,123,414,252,636,246,381,1098,291,402,522,900,528,1554,2445,303,81,111,528,546,471,39,108,174,84,120,522,4233,318,300,516,30,81,9,237,162,222,1335,207,387,150,729,..,96,3,56604
2001,834,915,246,987,2475,2976,5979,5667,750,795,300,210,693,423,1929,537,123,390,153,438,456,1326,1086,531,129,162,765,150,1068,741,180,861,114,396,237,582,222,378,1038,240,375,513,930,540,1623,2376,318,87,90,501,546,441,51,111,183,102,120,525,4242,360,345,474,54,63,6,201,165,231,1248,231,354,159,678,..,66,3,55797
2002,723,936,261,942,2496,3018,5904,5736,681,789,249,207,585,408,1785,582,132,357,168,474,501,1275,1026,495,141,150,759,147,1029,717,162,789,117,408,240,558,195,321,1017,231,342,444,840,486,1410,2349,276,75,111,507,519,417,39,96,153,81,120,459,4065,351,294,444,39,63,6,213,177,201,1263,237,381,150,660,..,48,3,54021
2003,762,999,264,1029,2667,3126,5973,5949,774,822,240,219,648,417,1944,579,123,363,144,462,474,1308,1092,531,141,150,705,123,1017,780,153,813,150,417,213,555,201,333,999,228,375,489,885,513,1539,2523,252,84,99,537,528,459,48,102,141,93,144,462,4296,378,315,474,48,72,15,207,168,237,1248,201,390,177,660,..,81,0,56133
2004,780,1050,240,1122,2712,3267,6270,6201,798,849,279,189,642,438,1947,618,129,402,147,483,558,1413,1155,507,111,144,750,129,1095,765,171,813,120,393,216,537,195,327,1023,267,348,504,819,504,1527,2454,315,87,117,558,579,477,36,111,192,96,141,555,4629,390,303,456,33,75,9,207,183,252,1269,273,399,168,690,..,69,0,58074
