"Country","Code","ChildMortalityPct","GDPPerCapita","Population","Continent"
"Afghanistan","AFG",7.04,1929,35383000,"Asia"
"Albania","ALB",1.35,10342,2886000,"Europe"
"Algeria","DZA",2.52,14331,40551000,"Africa"
"American Samoa","ASM",NA,NA,56000,"Oceania"
"Andorra","AND",0.27,NA,77000,"Europe"
"Angola","AGO",8.25,8453,28842000,"Africa"
"Anguilla","AIA",NA,NA,14000,"North America"
"Antigua and Barbuda","ATG",0.85,NA,95000,"North America"
"Argentina","ARG",1.11,18875,43508000,"South America"
"Armenia","ARM",1.34,10080,2936000,"Asia"
"Aruba","ABW",1.6265,NA,105000,"North America"
"Australia","AUS",0.37,48845,24263000,"Oceania"
"Austria","AUT",0.35,41445,8747000,"Europe"
"Azerbaijan","AZE",3.09,16645,9736000,"Asia"
"Bahamas","BHS",1.06,NA,378000,"North America"
"Bahrain","BHR",0.76,41078,1426000,"Asia"
"Bangladesh","BGD",3.42,3604,157976992,"Asia"
"Barbados","BRB",1.23,12003,286000,"North America"
"Belarus","BLR",0.39,17628,9446000,"Europe"
"Belgium","BEL",0.39,38766,11354000,"Europe"
"Belize","BLZ",1.49,NA,368000,"North America"
"Benin","BEN",9.76,2080,10872000,"Africa"
"Bermuda","BMU",NA,NA,63000,"North America"
"Bhutan","BTN",3.24,NA,737000,"Asia"
"Bolivia","BOL",3.69,6355,11032000,"South America"
"Bonaire Sint Eustatius and Saba","BES",NA,NA,25000,"North America"
"Bosnia and Herzegovina","BIH",0.6,9746,3386000,"Europe"
"Botswana","BWA",4.06,15198,2160000,"Africa"
"Brazil","BRA",1.51,13873,206163008,"South America"
"British Virgin Islands","VGB",NA,NA,29000,"North America"
"Brunei","BRN",0.99,NA,420000,"Asia"
"Bulgaria","BGR",0.76,17037,7152000,"Europe"
"Burkina Faso","BFA",8.46,1483,18646000,"Africa"
"Burundi","BDI",7.17,665,10488000,"Africa"
"Cambodia","KHM",3.06,3251,15766000,"Asia"
"Cameroon","CMR",7.97,2828,23927000,"Africa"
"Canada","CAN",0.49,43745,36383000,"North America"
"Cape Verde","CPV",2.14,6418,531000,"Africa"
"Cayman Islands","CYM",NA,NA,63000,"North America"
"Central African Republic","CAF",12.36,589,4538000,"Africa"
"Chad","TCD",12.73,2189,14562000,"Africa"
"Channel Islands","OWID_CIS",0.8602,NA,167000,"Europe"
"Chile","CHL",0.83,21696,18209000,"South America"
"China","CHN",0.99,12569,1414049024,"Asia"
"Colombia","COL",1.53,13326,48175000,"South America"
"Comoros","COM",7.33,1702,796000,"Africa"
"Congo","COG",5.41,5974,4981000,"Africa"
"Cook Islands","COK",0.78,NA,18000,"Oceania"
"Costa Rica","CRI",0.88,14098,4899000,"North America"
