"sex","lgth","weight"
1,46,510
2,55.8,900
1,52.7,820
2,69.2,2030
2,59.9,1080
2,66,1530
2,77.5,1970
1,61.9,1150
2,77,2490
1,64.8,NA
2,68,1645
2,62.2,1240
2,64.5,1260
1,64,1240
1,65.3,1395
2,72.4,1660
1,53,680
2,41.1,350
1,54.2,840
2,72,2120
1,59.6,1170
2,71.7,2270
2,69.4,1790
1,61.5,1020
1,62.8,970
1,58.2,1000
1,58.3,NA
1,57.4,1104
1,56.6,870
2,49.6,675
1,61.4,1280
2,41.1,410
1,60.8,NA
2,71.5,NA
2,62.4,1310
2,70,2175
2,60.4,1230
1,58.3,1070
1,60.7,1030
2,74.4,2040
2,75,2200
2,70.7,1700
2,77.3,2985
2,71.7,1935
2,56.5,NA
2,78.5,2810
2,65.3,1480
2,32.4,150
1,64.9,1170
1,61,1075
2,69,NA
1,62.5,1345
1,55.7,820
1,62.4,1330
2,64.5,1630
1,61,NA
1,58.8,1165
1,59.8,1080
2,74.7,2060
2,54.4,880
2,60.8,1280
2,67.5,1530
2,77.6,NA
1,66.5,NA
2,68.5,2040
2,60.2,1265
2,68.7,1780
2,58.5,NA
2,72.4,2150
2,45.2,470
1,40.9,410
1,60.3,1225
1,32.2,155
1,43.6,400
2,71,2285
2,53.8,780
2,64.7,1440
2,72.1,NA
2,61.4,1185
2,79.4,2390
2,37.1,240
1,32.3,170
1,41.5,410
1,56.4,940
1,60,1050
2,66.6,1710
2,74.3,2300
1,60.2,1030
1,59.1,860
2,70,1740
2,65,1325
1,62.8,1270
1,50.2,NA
1,62.3,1295
1,62.1,1235
2,67.2,1895
2,68,1510
2,67.8,1570
1,64,1260
2,70.3,2400
