Name,Agent,Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Position,Precision,Observing Authority
Wellington Kelburn Aws,25354,E1427P,-41.285,174.768,125,G,Metservice
Station,Date,Time,Amount (mm),SofG,Deficit (mm),Runoff (mm),Period (Hrs),Freq
25354,20040430,0900,3.8,-,-,-,24,D
25354,20040501,0900,0.8,-,-,-,24,D
25354,20040502,0900,8.6,-,-,-,24,D
25354,20040503,0900,3.2,-,-,-,24,D
25354,20040504,0900,18.0,-,-,-,24,D
25354,20040505,0900,0.2,-,-,-,24,D
25354,20040506,0900,1.0,-,-,-,24,D
25354,20040507,0900,0.0,-,-,-,24,D
25354,20040508,0900,0.0,-,-,-,24,D
25354,20040509,0900,0.0,-,-,-,24,D
25354,20040510,0900,0.0,-,-,-,24,D
25354,20040511,0900,0.0,-,-,-,24,D
25354,20040512,0900,0.4,-,-,-,24,D
25354,20040513,0900,25.2,-,-,-,24,D
25354,20040514,0900,0.2,-,-,-,24,D
25354,20040515,0900,0.4,-,-,-,24,D
25354,20040516,0900,0.0,-,-,-,24,D
25354,20040517,0900,4.0,-,-,-,24,D
25354,20040518,0900,0.0,-,-,-,24,D
25354,20040519,0900,0.0,-,-,-,24,D
25354,20040520,0900,0.0,-,-,-,24,D
25354,20040521,0900,0.0,-,-,-,24,D
25354,20040522,0900,0.0,-,-,-,24,D
25354,20040523,0900,1.6,-,-,-,24,D
25354,20040524,0900,0.0,-,-,-,24,D
25354,20040525,0900,9.6,-,-,-,24,D
25354,20040526,0900,1.4,-,-,-,24,D
25354,20040527,0900,0.0,-,-,-,24,D
25354,20040528,0900,0.0,-,-,-,24,D
25354,20040529,0900,14.2,-,-,-,24,D
25354,20040530,0900,0.0,-,-,-,24,D
25354,20040531,0900,4.8,-,-,-,24,D
25354,20040601,0900,0.0,-,-,-,24,D
25354,20040602,0900,0.0,-,-,-,24,D
25354,20040603,0900,0.0,-,-,-,24,D
25354,20040604,0900,0.0,-,-,-,24,D
25354,20040605,0900,2.8,-,-,-,24,D
25354,20040606,0900,0.6,-,-,-,24,D
25354,20040607,0900,0.0,-,-,-,24,D
25354,20040608,0900,0.0,-,-,-,24,D
25354,20040609,0900,0.0,-,-,-,24,D
25354,20040610,0900,0.0,-,-,-,24,D
25354,20040611,0900,2.2,-,-,-,24,D
25354,20040612,0900,0.2,-,-,-,24,D
25354,20040613,0900,0.0,-,-,-,24,D
25354,20040614,0900,0.0,-,-,-,24,D
25354,20040615,0900,0.2,-,-,-,24,D
25354,20040616,0900,1.0,-,-,-,24,D
25354,20040617,0900,0.0,-,-,-,24,D
25354,20040618,0900,1.8,-,-,-,24,D
25354,20040619,0900,30.4,-,-,-,24,D
25354,20040620,0900,2.0,-,-,-,24,D
